,median,xgb,average,l,u,ll,uu,true,delta,p12,p23,m1,m2,m3,petit,petitf
25,5.419234275817871,5.532107830047607,5.47513484954834,6.105708999633789,4.78199649810791,6.8445816040039045,4.348616921901703,5.782830709552749,6.422239681051557,0.8856032120119512,0.8856032120119512,3.0035e-06,3.0035e-06,3.0035e-06,5.963857570837336,4.734390736392299
26,4.843876838684082,5.563089847564697,4.9473185539245605,5.574047317504883,4.3372126388549805,6.176631605625152,4.068986046314239,5.1751050878927005,6.615215276511853,0.8823725967778141,0.882372596777814,3.0035e-06,3.0035e-06,3.0035e-06,6.7511608191791925,4.921727187655707
27,5.944829940795898,5.270104885101318,6.061587333679199,6.994624404907227,5.311328754425049,7.781781017780303,4.795259654521942,5.584641890927931,6.80327639596136,0.8792352801207399,0.8792352801207399,3.0035e-06,3.0035e-06,3.0035e-06,8.451139863040511,5.121575776751494
28,4.958134651184082,5.7057342529296875,5.0190887451171875,5.563063316345215,4.385446033477783,6.268724715709685,4.079758155345917,4.2124063105908895,6.9820689127200914,0.8762626361109815,0.8762626361109813,3.0035e-06,3.0035e-06,3.0035e-06,inf,5.33237335276531
29,5.358398914337158,5.7554779052734375,5.299052715301514,5.970348720550537,4.549129695892334,6.8817646861076325,4.1900226950645445,5.0463458744418315,7.156736361933313,0.8733679981095275,0.8733679981095275,3.0035e-06,3.0035e-06,3.0035e-06,inf,5.564476900137378
30,6.6328864097595215,5.46406364440918,6.680501937866211,7.730145645141602,5.655488433837891,8.790054273605346,4.7817715287208555,6.14636053144773,7.337287949271502,0.8703855955934349,0.8703855955934351,3.0035e-06,3.0035e-06,3.0035e-06,inf,5.841946755992105
31,6.256375312805176,5.803291320800781,6.368105411529541,7.261908988952637,5.516092071533203,7.951982283592223,4.805660474300384,4.9047763967223,7.525477675033032,0.8672875302704581,0.8672875302704584,3.0035e-06,3.0035e-06,3.0035e-06,inf,6.1907627461136885
32,7.485937118530273,5.694296360015869,7.621047496795654,8.873168258666992,6.271103019714356,10.606112027168273,4.679207623004913,6.679750855097583,7.700666563790967,0.8644130902236735,0.8644130902236736,3.0035e-06,3.0035e-06,3.0035e-06,inf,6.6024505722202065
33,7.464261531829834,5.502477169036865,7.505805015563965,8.55282070159912,6.413080406188965,9.652500915527343,5.74869282245636,6.49238468728483,7.881067137110431,0.8614627732223302,0.8614627732223304,3.0035e-06,3.0035e-06,3.0035e-06,inf,7.186151172305782
34,4.848675727844238,5.665215969085693,4.936727046966553,5.534301815032959,4.284771957397461,6.159802496433257,4.068659472465515,5.002457587999472,8.06105859867964,0.8585288512382799,0.8585288512382798,3.0035e-06,3.0035e-06,3.0035e-06,inf,8.152935220429923
35,7.669443130493164,5.946571350097656,7.632193565368652,8.664463729858399,6.627303714752197,9.88409123420715,5.300671637058258,6.849905339241386,8.253259103848901,0.8554065761991299,0.8554065761991299,3.0035e-06,3.0035e-06,3.0035e-06,inf,inf
36,8.274812698364258,5.43096399307251,8.40750789642334,9.609440689086913,7.1637977027893065,11.20495867729187,6.2306813359260556,7.644521655100919,8.419025932496535,0.8527225196551605,0.8527225196551607,3.0035e-06,3.0035e-06,3.0035e-06,inf,inf
37,8.919189453125,6.864605903625488,8.852821350097656,9.807544517517089,7.788483772277832,11.624983406066892,6.554171013832092,9.325935011672863,8.597599521662598,0.8498401890151788,0.8498401890151785,3.0035e-06,3.0035e-06,3.0035e-06,inf,inf
