k,overall_complexity,rmse,complexity,loss,score,equation,sympy_format,lambda_format
3,82,1.4361478001925159,26,2.1074085,0.0169132248462814,((((s4 ^ -0.2616646) + ((s6 ^ -0.20445167) + (s5 ^ -0.28917998))) + sin(0.87549734 - m8)) - (m8 / (0.87549734 + (s5 + s4)))) - s3,-m8/(s4 + s5 + 0.87549734) - s3 + s4**(-0.2616646) + s5**(-0.28917998) + s6**(-0.20445167) - sin(m8 - 0.87549734),PySRFunction(X=>-m8/(s4 + s5 + 0.87549734) - s3 + s4**(-0.2616646) + s5**(-0.28917998) + s6**(-0.20445167) - sin(m8 - 0.87549734))
3,84,1.3957556043399966,28,2.0552747,0.012524740300341343,((sin(0.9206165 - m8) + ((s4 ^ -0.2616646) + ((s6 ^ -0.20445167) + (s5 ^ -0.29297712)))) - (m8 / (0.6743173 + ((s5 + s4) / 0.32377088)))) - s3,-m8/(3.08860389173974*s4 + 3.08860389173974*s5 + 0.6743173) - s3 + s4**(-0.2616646) + s5**(-0.29297712) + s6**(-0.20445167) - sin(m8 - 0.9206165),PySRFunction(X=>-m8/(3.08860389173974*s4 + 3.08860389173974*s5 + 0.6743173) - s3 + s4**(-0.2616646) + s5**(-0.29297712) + s6**(-0.20445167) - sin(m8 - 0.9206165))
3,85,1.3950865251786304,29,2.0552382,1.7759340933481954e-05,((sin(0.9206165 - m8) + ((s4 ^ -0.2616646) + ((s6 ^ -0.20445167) + (s5 ^ -0.29297712)))) - (m8 / (0.6743173 + ((s5 + s4) / sin(0.32377088))))) - s3,-m8/(3.14323302554145*s4 + 3.14323302554145*s5 + 0.6743173) - s3 + s4**(-0.2616646) + s5**(-0.29297712) + s6**(-0.20445167) - sin(m8 - 0.9206165),PySRFunction(X=>-m8/(3.14323302554145*s4 + 3.14323302554145*s5 + 0.6743173) - s3 + s4**(-0.2616646) + s5**(-0.29297712) + s6**(-0.20445167) - sin(m8 - 0.9206165))
3,93,1.3889058663072333,30,2.046453,0.004283702992615417,((sin((0.89398247 + s4) - m8) + ((s4 ^ -0.2616646) + ((s6 ^ -0.20445167) + (s5 ^ -0.29297712)))) - (m8 / (0.6743173 + ((s5 + s4) / 0.32377088)))) - s3,-m8/(3.08860389173974*s4 + 3.08860389173974*s5 + 0.6743173) - s3 + s4**(-0.2616646) + s5**(-0.29297712) + s6**(-0.20445167) + sin(-m8 + s4 + 0.89398247),PySRFunction(X=>-m8/(3.08860389173974*s4 + 3.08860389173974*s5 + 0.6743173) - s3 + s4**(-0.2616646) + s5**(-0.29297712) + s6**(-0.20445167) + sin(-m8 + s4 + 0.89398247))
4,1,1.6985138231129908,1,5.407421,0.0,7.086284,7.08628400000000,PySRFunction(X=>7.08628400000000)
4,13,1.7169969808810779,3,4.66625,0.07370825907641086,7.075479 - m2,7.075479 - m2,PySRFunction(X=>7.075479 - m2)
4,15,1.658795254398325,5,3.8959196,0.09021300111480617,4.1991105 / (s4 ^ 0.14092548),4.1991105/s4**0.14092548,PySRFunction(X=>4.1991105/s4**0.14092548)
4,27,1.5621719015876143,7,2.8733356,0.1522280820733771,(3.4191902 / (s4 ^ 0.19198166)) - m6,-m6 + 3.4191902/s4**0.19198166,PySRFunction(X=>-m6 + 3.4191902/s4**0.19198166)
4,39,1.4669655856495,9,2.6408567,0.0421851063887514,((3.4191902 - m6) / (s4 ^ 0.19863896)) + m6,m6 + (3.4191902 - m6)/s4**0.19863896,PySRFunction(X=>m6 + (3.4191902 - m6)/s4**0.19863896)
4,40,1.5309104542972258,10,2.6153073,0.009721767139825815,((3.4896502 / (s4 ^ 0.1888699)) - sin(m2)) - m6,-m6 + 3.4896502/s4**0.1888699 - sin(m2),PySRFunction(X=>-m6 + 3.4896502/s4**0.1888699 - sin(m2))
